139;Flagi;Gmina;Nazwa;X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);
1;B,P(118);ZTM;Oliwa PKP;;0;0;
2;P(1741);ZTM;Beniowskiego (n/¿);;1;1;
3;P(1453);ZTM;Bora Komorowskiego;;2;2;
4;P(1455);ZTM;Czerwony Dwór;;1;2;
5;P(1457);ZTM;Jagielloñska - Przychodnia;;1;1;
6;P(1459);ZTM;D¹browszczaków;;1;1;
7;P(1461);ZTM;D¹browszczaków - Obroñców Wybrze¿a;0;1;2;
8;P(1463);ZTM;Olsztyñska;1;1;1;
9;P(1465);ZTM;Opolska;1;1;1;
10;P(1467);ZTM;Rzeczypospolitej - Ko³obrzeska;1;1;1;
11;P(1469);ZTM;Krynicka;2;2;2;
12;B,N,K0,P(1791);ZTM;Przymorze SKM;2;2;2;
