212;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);
1;B,P(143);ZTM;Przegalina;0;0;;
2;P(1156);ZTM;Przegaliñska;1;1;;
3;P(1154);ZTM;Œwibnieñska;2;2;;
4;P(1152);ZTM;Uzdrowiskowa;1;1;;
5;P(1148);ZTM;Przystañ;2;2;;
6;P(1146);ZTM;Wêgorzowa (n/¿);1;1;;
7;P(1142);ZTM;Tra³owa - Szko³a;2;2;;
8;P(1140);ZTM;Kwiatowa;2;2;;
9;P(1136);ZTM;Lazurowa;2;2;;
10;P(1828);ZTM;Forsycji (n/¿);2;2;;
11;P(1842);ZTM;Turystyczna (n/¿);0;0;;
12;P(1130),S;ZTM;Sobieszewo Wyspa;3;3;0;
13;P(1128);ZTM;Sobieszewo Most (n/¿);2;2;2;
14;P(1124);ZTM;Wiœlinka Szkolna (n/¿);3;3;3;
15;P(1110),S;ZTM;Rafineria;7;7;7;
16;P(1104);ZTM;B³onia;3;3;3;
17;P(1042);ZTM;Brama ¯u³awska;4;4;4;
18;P(1662);ZTM;Akademia Muzyczna;1;1;1;
19;P(1038);ZTM;¯abi Kruk;2;2;2;
20;P(1030);ZTM;Brama Wy¿ynna;2;3;2;
21;B,N,K0,P(1014);ZTM;Dworzec G³ówny;2;2;2;
