N1;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X12(00:00-29:59)
1;B,P(195);ZTM;JaworzniakÛw;;0;0;0;0;0;0
2;P(1959);ZTM;ElfÛw (n/ø);;1;1;1;1;1;1
3;P(1957);ZTM;Osiedle åwiÍtokrzyskie (n/ø);;1;1;1;1;1;1
4;P(194),1,I;ZTM;Zakoniczyn (n/ø);;;;;3;3;
5;P(1933),1,I;ZTM;PorÍbskiego (n/ø);;;;;1;1;
6;P(1790);ZTM;Wieøycka (n/ø);;2;2;2;1;1;2
7;P(1320);ZTM;Niepo≥omicka (n/ø);;1;1;1;1;1;1
8;P(1318);ZTM;£Ûdzka (n/ø);;1;1;1;1;1;1
9;P(1743);ZTM;åwiÍtokrzyska (n/ø);;1;1;1;1;1;1
10;P(1231);ZTM;Platynowa (n/ø);;;1;1;1;1;1
11;P(1579);ZTM;Krzemowa (n/ø);;;1;1;1;1;1
12;P(1233);ZTM;Uranowa (n/ø);;;1;1;1;1;1
13;P(132);ZTM;Orunia GÛrna (n/ø);;;1;1;1;1;1
14;P(1232);ZTM;Platynowa (n/ø);;1;1;1;1;1;1
15;P(1230);ZTM;Ma≥omiejska (n/ø);;1;1;1;1;1;1
16;P(1228);ZTM;Ptasia (n/ø);;1;1;1;1;1;1
17;P(1206);ZTM;Sandomierska  (n/ø);;1;1;1;1;1;1
18;P(1204);ZTM;Zremb (n/ø);;1;1;1;1;1;1
19;P(1202);ZTM;Elmet (n/ø);;1;1;1;1;1;1
20;P(1200);ZTM;Zaroúlak (n/ø);;1;1;1;1;1;1
21;P(1032);ZTM;Brama Wyøynna;;2;2;2;2;2;2
22;P(1014);ZTM;Dworzec G≥Ûwny;;9;9;9;9;2;9
23;P(1600);ZTM;Uniwersytet Medyczny (n/ø);;3;3;3;3;3;3
24;P(1912);ZTM;Opera Ba≥tycka (n/ø);;1;1;1;1;1;1
25;P(1652);ZTM;WyspiaÒskiego (n/ø);;2;2;2;2;2;2
26;P(1654);ZTM;Mickiewicza (n/ø);;3;3;3;3;3;3
27;P(1602),1,I;ZTM;Koúciuszki (n/ø);;1;;;1;1;
28;P(1449),1,I;ZTM;Hallera - Baza ZKM (n/ø);0;;;;2;;
