315;Flagi;Gmina;Nazwa;X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59)
1;B,P(118);ZTM;Oliwa PKP;0;0;0;0;0;0;0;0;0;0
2;P(1741);ZTM;Beniowskiego (n/¿);1;1;1;1;1;1;2;2;2;1
3;P(1453);ZTM;Bora Komorowskiego;2;2;2;2;2;2;2;2;2;2
4;P(1455);ZTM;Czerwony Dwór;2;1;1;1;1;1;1;1;2;1
5;P(1457);ZTM;Jagielloñska - Przychodnia;1;1;1;1;1;1;1;1;1;1
6;P(1459);ZTM;D¹browszczaków;1;1;1;1;1;2;2;2;2;2
7;P(1461);ZTM;D¹browszczaków - Obroñców Wybrze¿a;2;1;;1;1;1;1;1;1;1
8;P(1463);ZTM;Olsztyñska;1;1;;1;1;1;1;1;1;1
9;P(1465);ZTM;Opolska;1;1;;1;1;1;1;1;1;1
10;P(1467);ZTM;Rzeczypospolitej - Ko³obrzeska;1;1;;1;1;2;2;2;2;2
11;P(1469);ZTM;Krynicka;2;2;;2;2;1;1;2;2;1
12;P(1791);ZTM;Przymorze SKM;1;1;;1;1;2;3;3;3;2
13;P(1679);ZTM;Biblioteka G³ówna UG;3;2;;2;;1;1;1;2;
14;P(1793);ZTM;Abrahama;1;1;;1;;1;1;1;1;
15;P(1629);ZTM;Wojska Polskiego;2;2;;1;;1;1;1;2;
16;P(1382);ZTM;Galeria Ba³tycka;3;3;;3;;3;3;3;3;
17;P(115);ZTM;Wrzeszcz PKP;1;1;;1;;2;2;2;2;
18;P(1593);ZTM;Jaœkowa Dolina;2;2;;2;;2;2;2;3;
19;P(1347);ZTM;Matejki;2;2;;2;;1;1;2;2;
20;P(1349);ZTM;Traugutta - Sobieskiego;2;2;;2;;1;1;1;1;
21;P(1351);ZTM;Krêta;1;1;;1;;1;1;1;1;
22;P(1353);ZTM;Jarowa;1;1;;1;;1;1;1;1;
23;P(1355);ZTM;Pomorskie Szko³y Rzemios³;1;1;;1;;1;1;1;1;
24;P(1357);ZTM;Schumana;1;1;;1;;1;1;1;1;
25;P(1359);ZTM;Schuberta;1;1;;1;;1;2;2;2;
26;P(1338);ZTM;Kurpiñskiego;2;2;;2;;1;1;1;1;
27;P(1336);ZTM;Otwarta;1;1;;1;;1;1;1;1;
28;P(151);ZTM;Suchanino;1;1;;1;;1;1;1;1;
29;P(1340);ZTM;Nad Jarem - Zakosy;1;1;;1;;1;1;1;1;
30;P(1332);ZTM;Cygañska Góra;1;1;;1;;1;1;1;1;
31;P(1880);ZTM;Focha (n/¿);1;1;;1;;1;1;1;1;
32;P(1330);ZTM;P³owce;1;1;;1;;1;1;1;1;
33;P(1328);ZTM;Bema;1;1;;1;;1;1;1;1;
34;P(1260);ZTM;Urz¹d Miejski;1;1;;1;;1;1;2;2;
35;B,N,K0,P(9135);ZTM;Dworzec PKS;3;3;;3;;3;3;3;3;
