178;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59)
1;B,P(137);ZTM;Olszynka - Szko³a;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;P(1183);ZTM;Sierpowa;1;1;1;1;1;1;1;1;1;1;1;1;1;1
3;P(1184);ZTM;Bratki;2;2;2;2;2;2;2;2;2;2;2;2;2;2
4;P(1760);ZTM;Stokrotki;1;1;1;1;1;1;1;1;1;1;1;1;1;1
5;P(1185);ZTM;Gêsia;1;1;1;1;1;1;1;1;1;1;1;1;1;1
6;P(1705);ZTM;£anowa I (n/¿);1;;1;;;1;;;1;;1;1;;1
7;P(1606);ZTM;£anowa II (n/¿);1;;1;;;1;;;1;;1;1;;1
8;P(1706);ZTM;£anowa III (n/¿);1;;1;;;1;;;1;;1;1;;1
9;P(1707);ZTM;£anowa IV (n/¿);1;;1;;;1;;;1;;1;1;;1
10;P(1708);ZTM;Modra I (n/¿);2;;2;;;2;;;2;;2;2;;2
11;P(1709);ZTM;Modra II (n/¿);3;;3;;;3;;;3;;3;3;;3
12;P(1710);ZTM;Modra III (n/¿);1;;1;;;1;;;1;;1;1;;1
13;P(1711);ZTM;Modra IV (n/¿);1;;1;;;1;;;1;;1;1;;1
14;P(1186);ZTM;Niwki;1;3;1;3;3;1;3;3;1;3;1;1;3;1
15;P(1187);ZTM;Zawodzie;2;2;2;2;2;2;2;2;2;2;2;2;2;2
16;P(1660);ZTM;Dworkowa;2;2;2;2;2;2;2;2;2;2;2;2;2;2
17;P(1188);ZTM;Maki;1;1;1;1;1;1;1;1;1;1;1;1;1;1
18;P(1688),1,I;ZTM;Olszynka - Szko³a;;;2;2;2;2;;;;;;;;
19;P(1689),1,I;ZTM;Na Szañcach;;;1;1;1;1;;;;;;;;
20;P(1189);ZTM;Targowisko (n/¿);1;1;1;1;1;1;2;2;2;2;2;2;1;1
21;P(1100);ZTM;Mostek;1;1;1;1;1;1;1;1;1;1;1;1;1;1
22;P(1042);ZTM;Brama ¯u³awska;1;1;2;2;2;2;2;2;2;2;2;2;2;2
23;P(1662);ZTM;Akademia Muzyczna;1;1;1;1;2;2;2;1;1;1;1;2;1;1
24;P(1038);ZTM;¯abi Kruk;2;2;2;2;2;2;2;2;2;2;2;2;2;2
25;P(1030);ZTM;Brama Wy¿ynna;2;2;3;3;3;3;3;3;2;2;3;3;2;2
26;B,N,K0,P(1022);ZTM;Dworzec G³ówny;2;2;2;2;4;4;4;2;2;2;2;4;2;2
