3;Flagi;Gmina;Nazwa;X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X16(00:00-29:59);X17(00:00-29:59);X18(00:00-29:59);X19(00:00-29:59);X20(00:00-29:59);X23(00:00-29:59);X24(00:00-29:59);X25(00:00-29:59)
1;B,P(2169),1,I;ZTM;W³adys³awa IV;;0;;;;0;;0;;;;;;;0
2;P(209),1,I;ZTM;Nowy Port (Oliwska);;1;;;;1;;1;;;0;;;;1
3;P(2200),1,I;ZTM;Przychodnia;;0;;;;0;;;;;0;;;;0
4;P(2198),1,I;ZTM;Rybo³owców;;1;;;;1;;;;;1;;;;1
5;P(2196),1,I;ZTM;Kasztanowa;;1;;;;1;;;;;1;;;;1
6;P(2194),1,I;ZTM;Latarnia Morska;;1;;;;1;;;;;1;;;;1
7;P(2192),1,I;ZTM;Krasickiego;;3;;;;3;;;;;3;;;;3
8;P(2190),1,I;ZTM;BrzeŸno;;1;;;;1;;;;;1;;;;1
9;B,P(210);ZTM;BrzeŸno;;;;0;0;;;;;;;0;;;
10;P(2188);ZTM;Mazurska;;1;;1;1;1;;;;;1;1;;;1
11;P(2186);ZTM;Wczasy;;1;;1;1;1;;;;;1;1;;;1
12;P(2184);ZTM;Dworska;;2;;2;2;2;;;;;2;2;;;2
13;P(2178);ZTM;al. Hallera;;1;;1;1;1;;;;;1;1;;;1
14;P(2176);ZTM;Grudzi¹dzka;;2;;2;2;2;;;;;2;2;;;2
15;P(2174);ZTM;Kolonia Uroda;;1;;1;1;1;;;;;1;1;;;1
16;P(2172);ZTM;Koœciuszki;;2;;2;2;2;;;;;2;2;;;2
17;P(2076);ZTM;Mickiewicza;;1;;1;1;1;;;;;1;1;;;1
18;P(2074);ZTM;Reja;;1;;1;1;1;;;;;1;1;;;1
19;P(2072);ZTM;Wyspiañskiego;;2;;2;2;2;;;;;2;2;;;2
20;P(213),1,I,H;ZTM;Strzy¿a PKM;;;0;;;;;;;;;;0;;
21;P(2030),1,I,H;ZTM;Zajezdnia;;;1;;;;;;;;;;1;;
22;P(2028),1,I,H;ZTM;Zamenhofa;;;1;;;;;;;;;;1;;
23;P(2026),1,I,H;ZTM;Wojska Polskiego;;;1;;;;;;;;;;1;;
24;P(2024),1,I,H;ZTM;Galeria Ba³tycka;;;2;;;;;;;;;;2;;
25;P(2022),1,I,H;ZTM;Klonowa;;;1;;;;;;;;;;1;;
26;P(2020),1,I,H;ZTM;Jaœkowa Dolina;;;0;;;;;;;;;;2;;
27;P(2018),1,I,H;ZTM;Miszewskiego;;;0;;;;;;;;;;2;;
28;P(2016),1,I,H;ZTM;Politechnika;;;1;;;;;;;;;;1;;
29;P(2014);ZTM;Opera Ba³tycka;;2;;2;3;3;;;;;3;2;2;;2
30;P(2012);ZTM;Traugutta;;2;;2;2;2;;;;;2;2;2;;2
31;P(2010);ZTM;Uniwersytet Medyczny;;1;;1;1;1;;;;;1;1;1;;1
32;P(2008);ZTM;Chodowieckiego;;1;;1;1;1;;;;;1;1;1;;1
33;P(2006);ZTM;Brama Oliwska;;1;;1;1;1;;;;;1;1;1;;1
34;P(2169),1,I,H;ZTM;W³adys³awa IV;0;;;;;;0;;0;;;;;0;
35;P(208),1,I,H;ZTM;Nowy Port (Góreckiego);1;;;;;;1;;1;0;;;;1;
36;P(2166),1,I,H;ZTM;Wyzwolenia - Marynarki Polskiej;2;;;;;;2;;;2;;;;2;
37;P(2164),1,I,H;ZTM;Œnie¿na;1;;;;;;1;;;1;;;;1;
38;P(2162),1,I,H;ZTM;PGE ARENA Gdañsk;2;;;;;;2;;;2;;;;2;
39;P(2160),1,I,H;ZTM;Mostostal;1;;;;;;1;;;1;;;;1;
40;P(2158),1,I,H;ZTM;¯aglowa - AmberExpo;1;;;;;;1;;;1;;;;1;
41;P(2156),1,I,H;ZTM;Swojska;2;;;;;;2;;;2;;;;2;
42;P(2154),1,I,H;ZTM;Wêze³ Kliniczna;1;;;;;;1;;;1;;;;1;
43;P(2068),1,I,H;ZTM;Twarda;1;;;;;;1;;;1;;;;1;
44;P(2066),1,I,H;ZTM;Stocznia Pó³nocna;1;;;;;;1;;;1;;;;1;
45;P(2064),1,I,H;ZTM;Stocznia SKM;2;;;;;;2;;;2;;;;2;
46;P(2062),1,I,H;ZTM;Plac Solidarnoœci;1;;;;;;2;;;2;;;;1;
47;P(2002);ZTM;Dworzec G³ówny;2;2;;2;2;2;2;;;2;2;2;2;2;2
48;P(2101);ZTM;Brama Wy¿ynna;2;2;;2;2;2;2;;;2;2;2;2;2;2
49;P(2103);ZTM;Okopowa;2;2;;2;2;2;2;;;2;2;2;2;2;2
50;P(2105);ZTM;¯abi Kruk;1;1;;1;1;1;1;;;1;1;1;1;1;1
51;P(2107);ZTM;Chmielna;1;1;;1;1;1;1;;;1;1;1;1;1;1
52;P(2109);ZTM;Akademia Muzyczna;1;1;;1;1;1;1;;;1;1;1;1;1;1
53;P(2113);ZTM;Brama ¯u³awska;2;2;;2;2;2;2;;;2;2;2;2;2;2
54;P(2115);ZTM;G³êboka;2;2;;2;2;2;2;;;2;2;1;1;1;1
55;P(2117);ZTM;Przeróbka;3;3;;3;3;3;3;;;3;3;3;3;3;3
56;P(2119);ZTM;Lenartowicza;1;1;;1;1;1;1;;;1;1;1;1;1;1
57;P(2121);ZTM;Sucharskiego;1;1;;1;1;1;1;;;1;1;1;1;1;1
58;P(2123);ZTM;Kaczeñce;1;1;;1;1;1;1;;;1;1;1;1;1;1
59;P(2125);ZTM;Lessowa;1;1;;1;1;1;1;;;1;1;1;1;1;1
60;P(2127);ZTM;Zimna;1;1;;1;1;1;1;;;1;1;1;1;1;1
61;B,N,K0,P(2129);ZTM;Stogi Pasanil;2;2;;2;2;2;2;;;2;2;2;2;2;2
62;P(2071),1,I,H;ZTM;Wyspiañskiego;;;3;;;;;;;;;;;;
63;P(2073),1,I,H;ZTM;Reja;;;1;;;;;;;;;;;;
64;P(2171),1,I,H;ZTM;Mickiewicza;;;2;;;;;;;;;;;;
65;P(2173),1,I,H;ZTM;Koœciuszki;;;2;;;;;;;;;;;;
66;P(2175),1,I,H;ZTM;Kolonia Uroda;;;1;;;;;;;;;;;;
67;P(2177),1,I,H;ZTM;Grudzi¹dzka;;;1;;;;;;;;;;;;
68;P(2179),1,I,H;ZTM;al. Hallera;;;2;;;;;;;;;;;;
69;P(2187),1,I,H;ZTM;Uczniowska;;;1;;;;;;;;;;;;
70;P(2181),1,I,H;ZTM;Gdañska;;;1;;;;;;;;;;;;
71;P(2183),1,I,H;ZTM;Sternicza;;;1;;;;;;;;;;;;
72;B,N,K,P(210),1,I,H;ZTM;BrzeŸno;;;2;;;;;;;;;;;;
