4;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59)
1;B,P(2150);ZTM;Siedlce;0;0;0;0
2;P(2148);ZTM;Skrajna;1;1;1;1
3;P(2146);ZTM;Zakopiañska;1;1;1;1
4;P(2144);ZTM;Ciasna;1;1;1;1
5;P(2142);ZTM;Paska;1;1;1;1
6;P(2140);ZTM;Powstañców Warszawskich;2;2;2;2
7;P(2151);ZTM;Nowe Ogrody;2;3;3;3
8;P(2135);ZTM;Dworzec PKS;1;1;1;1
9;P(2005);ZTM;Brama Oliwska;2;2;2;2
10;P(2007);ZTM;Chodowieckiego;1;1;1;1
11;P(2009);ZTM;Uniwersytet Medyczny;1;1;1;1
12;P(2011);ZTM;Traugutta;1;2;2;2
13;P(2013);ZTM;Opera Ba³tycka;2;2;2;
14;P(2015),1,I,H;ZTM;Opera Ba³tycka;;;;2
15;P(2017),1,I,H;ZTM;Politechnika;;;;1
16;P(2019),1,I,H;ZTM;Miszewskiego;;;;1
17;P(2021),1,I,H;ZTM;Jaœkowa Dolina;;;;2
18;P(2023),1,I,H;ZTM;Klonowa;;;;2
19;P(2025),1,I,H;ZTM;Galeria Ba³tycka;;;;2
20;P(2027),1,I,H;ZTM;Wojska Polskiego;;;;2
21;P(2029),1,I,H;ZTM;Zamenhofa;;;;1
22;P(2031),1,I,H;ZTM;Zajezdnia;;;;1
23;P(213),1,I,H;ZTM;Strzy¿a PKM;;;;1
24;P(2071);ZTM;Wyspiañskiego;3;3;3;
25;P(2073);ZTM;Reja;1;1;1;
26;P(2075);ZTM;Mickiewicza;2;2;2;
27;P(2077);ZTM;Plac Komorowskiego;2;2;2;
28;P(2079);ZTM;Legionów;2;2;2;
29;P(2081);ZTM;Bajana;1;1;1;
30;P(2083);ZTM;¯wirki i Wigury;1;1;1;
31;P(2085);ZTM;Jana Paw³a II;1;1;1;
32;P(2087);ZTM;Startowa;1;1;1;
33;P(2089);ZTM;Zaspa;1;1;1;
34;P(2091);ZTM;Ko³obrzeska;1;1;1;
35;P(2093);ZTM;Ch³opska - Obroñców Wybrze¿a;2;2;2;
36;P(2095);ZTM;Jagielloñska;2;2;2;
37;P(2097);ZTM;Piastowska;1;1;1;
38;P(2099);ZTM;Pomorska;2;2;2;
39;P(2054),1,I,H;ZTM;Gospody;;;1;
40;P(2052),1,I,H;ZTM;Pomorska - Osiedle;;;1;
41;P(2050),1,I,H;ZTM;Subis³awa;;;2;
42;P(2048),1,I,H;ZTM;Opacka;;;2;
43;P(2046),1,I,H;ZTM;Oliwa;;;2;
44;P(2044),1,I,H;ZTM;Obroñców Westerplatte;;;1;
45;P(2042),1,I,H;ZTM;Derdowskiego;;;1;
46;P(2040),1,I,H;ZTM;Tetmajera;;;1;
47;P(2038),1,I,H;ZTM;Ba¿yñskiego;;;1;
48;P(2036),1,I,H;ZTM;Uniwersytet;;;1;
49;P(2034),1,I,H;ZTM;Strzy¿a PKM;;;2;0
50;P(2055);ZTM;Osiedle Wejhera;1;1;;
51;P(2057);ZTM;Helska;1;1;;
52;B,N,K0,P(201);ZTM;Jelitkowo;1;1;;
