6;Flagi;Gmina;Nazwa;X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59)
1;B,P(201);ZTM;Jelitkowo;;0;;0;0;0;0;0
2;P(2058);ZTM;Helska;;2;;2;2;2;2;1
3;P(2056);ZTM;Os. Wejhera;;2;;2;2;1;1;1
4;P(2054);ZTM;Gospody;;1;;1;1;1;1;0
5;P(2052);ZTM;Pomorska - Osiedle;;1;;1;1;1;1;1
6;P(2050);ZTM;Subis³awa;;2;;2;2;2;2;2
7;P(2048);ZTM;Opacka;;2;;2;2;2;2;2
8;P(2046);ZTM;Oliwa;;2;;2;2;2;2;2
9;P(2044);ZTM;Obroñców Westerplatte;;1;;1;1;1;1;1
10;P(2042);ZTM;Derdowskiego;;1;;1;1;1;1;1
11;P(2040);ZTM;Tetmajera;;1;;1;1;1;1;1
12;P(2038);ZTM;Ba¿yñskiego;;1;;1;1;1;1;1
13;P(2036);ZTM;Uniwersytet;;1;;1;1;1;1;1
14;P(2034);ZTM;Strzy¿a PKM;;2;;2;2;2;2;2
15;P(2030);ZTM;Zajezdnia;1;1;1;1;;1;;
16;P(2028);ZTM;Zamenhofa;1;1;1;1;;1;;
17;P(2026);ZTM;Wojska Polskiego;1;1;1;1;;1;;
18;P(2024);ZTM;Galeria Ba³tycka;2;2;2;2;;2;;
19;P(2022);ZTM;Klonowa;1;1;2;2;;1;;
20;P(2020);ZTM;Jaœkowa Dolina;2;2;2;2;;2;;
21;P(2018);ZTM;Miszewskiego;2;2;2;2;;2;;
22;P(2016);ZTM;Politechnika;1;1;1;1;;1;;
23;P(2014);ZTM;Opera Ba³tycka;2;2;2;2;;2;;
24;P(2012);ZTM;Traugutta;2;2;2;2;;2;;
25;P(2010);ZTM;Uniwersytet Medyczny;1;1;1;1;;1;;
26;P(2008);ZTM;Chodowieckiego;1;1;1;1;;1;;
27;P(2006);ZTM;Brama Oliwska;1;1;1;1;;1;;
28;P(2002);ZTM;Dworzec G³ówny;2;2;2;2;;2;;
29;P(2101);ZTM;Brama Wy¿ynna;2;2;2;2;;2;;
30;P(2207);ZTM;Œródmieœcie SKM;2;2;2;2;;2;;
31;P(2211);ZTM;Pohulanka (Armii Krajowej);2;2;2;2;;2;;
32;P(2213);ZTM;Odrzañska;1;1;1;1;;1;;
33;P(2215);ZTM;Cha³ubiñskiego;2;2;2;2;;2;;
34;P(2217);ZTM;Sikorskiego;1;1;1;1;;1;;
35;P(2221);ZTM;Cieszyñskiego;2;2;2;2;;2;;
36;P(2223);ZTM;Cebertowicza;1;1;1;1;;1;;
37;P(2225);ZTM;Wilanowska;2;2;2;2;;2;;
38;P(2227);ZTM;Przemyska;1;1;1;1;;1;;
39;P(2229);ZTM;P³ocka;1;1;1;1;;1;;
40;B,N,K0,P(2231);ZTM;£ostowice Œwiêtokrzyska;2;2;2;2;;2;;
