112;Flagi;Gmina;Nazwa;X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);
1;B,P(1017);ZTM;Dworzec G³ówny;0;0;0;0;0;0;
2;P(1031);ZTM;Brama Wy¿ynna;2;2;2;3;3;2;
3;P(1037);ZTM;¯abi Kruk;1;1;2;2;2;2;
4;P(1661);ZTM;Akademia Muzyczna;2;2;2;2;2;2;
5;P(1099);ZTM;Brama ¯u³awska;1;1;1;1;1;1;
6;P(1601);ZTM;Mostek;1;1;1;1;1;1;
7;P(1101);ZTM;Mia³ki Szlak;1;1;1;1;1;1;
8;P(1103);ZTM;Elbl¹ska - Wiadukt;1;1;1;1;1;1;
9;P(1105);ZTM;B³onia;1;1;1;1;1;1;
10;P(1107);ZTM;Tarcice;1;1;1;1;1;1;
11;P(1109);ZTM;Micha³ki Wiadukt (n/¿);1;2;2;2;2;2;
12;P(1111),S;ZTM;Rafineria;1;1;1;1;2;1;
13;P(1113);ZTM;Dobrowo;2;2;2;2;2;2;
14;P(1115);ZTM;Przejazdowo Sezonowa (n/¿);1;1;2;2;2;2;
15;P(1117);ZTM;Przejazdowo;1;1;1;1;1;1;
16;P(1119);ZTM;Przejazdowo £¹kowa (n/¿);1;1;1;1;1;1;
17;P(1713);ZTM;Bogatka II (n/¿);1;1;1;1;1;1;
18;P(1121);ZTM;Bogatka;1;2;2;2;2;2;
19;P(1123);ZTM;Bogatka I (n/¿);1;1;1;1;1;1;
20;P(1125);ZTM;Wiœlinka Szkolna;2;2;2;2;2;2;
21;P(1127);ZTM;Wiœlinka Piaskowa (n/¿);2;2;3;3;3;2;
22;P(1129);ZTM;Sobieszewo Most (n/¿);1;1;1;1;1;1;
23;P(1131),S;ZTM;Sobieszewo Wyspa;2;2;2;2;2;2;
24;P(1759);ZTM;Falowa (n/¿);1;1;1;1;1;1;
25;P(1133);ZTM;Kana³owa (n/¿);1;1;1;1;1;1;
26;P(1843);ZTM;Turystyczna (n/¿);1;2;2;2;2;2;
27;P(1827);ZTM;Forsycji (n/¿);0;0;0;0;0;0;
28;P(1135);ZTM;Pole Namiotowe (n/¿);1;1;1;1;1;1;
29;P(1137);ZTM;Lazurowa;1;1;1;1;1;1;
30;P(1139);ZTM;Wieniec (n/¿);1;1;2;2;2;2;
31;P(1141);ZTM;Kwiatowa;1;1;1;1;1;1;
32;P(1681);ZTM;Boguckiego (n/¿);1;1;1;1;1;1;
33;P(1143);ZTM;Tra³owa - Szko³a;1;1;1;1;1;1;
34;P(1145);ZTM;Kempingowa;1;1;1;1;1;1;
35;P(1147);ZTM;Wêgorzowa;1;1;1;1;1;1;
36;P(1149);ZTM;Przystañ;1;1;1;1;1;1;
37;P(1151);ZTM;Œwibno - Przychodnia (n/¿);1;1;1;1;1;1;
38;P(1657);ZTM;Œwibnieñska - Sklep (n/¿);0;0;0;0;0;0;
39;P(1153);ZTM;Uzdrowiskowa;1;1;1;1;1;1;
40;P(1155);ZTM;Œwibnieñska;2;2;2;2;2;2;
41;P(1157);ZTM;Przegaliñska;1;1;1;2;2;1;
42;B,N,K0,P(143);ZTM;Przegalina;1;1;1;1;1;1;
