184;Flagi;Gmina;Nazwa;X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);
1;B,P(1257);ZTM;Dworzec PKS;;0;0;0;;0;0;
2;P(1259);ZTM;Nowe Ogrody;;1;2;1;;1;1;
3;P(1329);ZTM;Bema;;2;2;2;;2;2;
4;P(1331);ZTM;P³owce;;2;2;1;;2;1;
5;P(1881);ZTM;Focha (n/¿);;1;1;1;;1;1;
6;P(1333);ZTM;Cygañska Góra;;1;1;1;;1;1;
7;P(1335);ZTM;Wagnera;;2;2;2;;2;2;
8;P(1337);ZTM;Otwarta;;1;1;1;;1;1;
9;P(1339);ZTM;Kurpiñskiego;;1;1;1;;1;1;
10;P(1370);ZTM;Dobrowolskiego;;2;2;2;;2;2;
11;P(1342);ZTM;Piecki Wileñska;;1;1;1;;1;1;
12;P(1367);ZTM;Dobrowolskiego;;1;1;1;;1;1;
13;P(1369);ZTM;Piecewska;;1;1;1;;1;1;
14;P(1371);ZTM;Warneñska;;1;1;1;;1;1;
15;P(1380);ZTM;Kolumba;;1;2;1;;1;1;
16;P(1378n);ZTM;Brêtowo PKM;;1;1;1;;1;1;
17;P(1434);ZTM;Ogrodowa (n/¿);;1;1;1;;2;2;
18;P(1393);ZTM;Potokowa;0;2;2;2;0;2;2;
19;P(1439);ZTM;Podkarpacka;1;1;1;1;1;1;1;
20;B,N,K0,P(153);ZTM;NiedŸwiednik;1;1;1;2;2;2;2;
