267;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);
1;B,P(1420);ZTM;Budowlanych (n/ø);0;0;
2;P(1750);ZTM;POD - Lotnisko III (n/ø);1;1;
3;P(1418);ZTM;KosmonautÛw (n/ø);1;1;
4;P(1416);ZTM;Rakietowa (n/ø);1;1;
5;P(1290);ZTM;NowatorÛw;2;3;
6;P(1288);ZTM;TransportowcÛw;1;3;
7;P(1703);ZTM;Kartuska (n/ø);1;3;
8;P(1286);ZTM;Fabryczna;1;4;
9;P(1284);ZTM;Inøynierska (n/ø);1;1;
10;P(1282);ZTM;Karczemki;2;2;
11;P(1278);ZTM;JasieÒ - Dzia≥ki (n/ø);4;4;
12;P(1258);ZTM;èrÛdlana (n/ø);2;2;
13;P(1276);ZTM;Zwierzyniecka;0;0;
14;P(1274);ZTM;Damroki;1;1;
15;P(1272);ZTM;Lipowa;2;3;
16;P(1270);ZTM;Myúliwska;1;1;
17;P(1268);ZTM;PagÛrkowa;1;1;
18;P(1266);ZTM;Zielony Stok;1;1;
19;P(1264);ZTM;Emaus;1;2;
20;B,N,K0,P(362);ZTM;Siedlce;1;1;
