5;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59)
1;B,P(213);ZTM;Strzy¿a PKM;0;0;0;0;0;0;0
2;P(2030);ZTM;Zajezdnia;1;1;1;1;1;1;1
3;P(2028);ZTM;Zamenhofa;1;1;1;1;1;1;1
4;P(2026);ZTM;Wojska Polskiego;1;1;1;1;1;1;1
5;P(2024);ZTM;Galeria Ba³tycka;2;2;2;2;2;2;2
6;P(2022);ZTM;Klonowa;1;1;2;2;1;1;1
7;P(2020);ZTM;Jaœkowa Dolina;2;2;2;2;2;2;2
8;P(2018);ZTM;Miszewskiego;2;2;2;2;2;2;1
9;P(2016);ZTM;Politechnika;1;1;1;1;1;1;1
10;P(2071);ZTM;Wyspiañskiego;3;3;3;3;2;2;2
11;P(2073);ZTM;Reja;1;1;1;1;1;1;1
12;P(2171);ZTM;Mickiewicza;2;2;2;2;2;2;1
13;P(2173);ZTM;Koœciuszki;2;2;2;2;2;2;2
14;P(2175);ZTM;Kolonia Uroda;1;1;1;1;1;1;1
15;P(2177);ZTM;Grudzi¹dzka;1;1;1;1;1;1;1
16;P(2179);ZTM;al. Hallera;2;2;2;2;2;2;2
17;P(2187);ZTM;Uczniowska;1;1;1;1;1;1;1
18;P(2181);ZTM;Gdañska;1;1;1;1;1;1;1
19;P(2183);ZTM;Sternicza;1;1;1;1;1;1;1
20;P(2189);ZTM;BrzeŸno;2;2;2;2;1;1;1
21;P(2191);ZTM;Krasickiego;1;1;1;1;1;1;1
22;P(2193);ZTM;Latarnia Morska;3;3;3;3;3;3;3
23;P(2195);ZTM;Kasztanowa;1;1;1;1;1;1;1
24;P(2197);ZTM;Rybo³owców;1;1;1;1;1;1;1
25;P(2167);ZTM;Plac Wolnoœci;2;2;2;2;2;2;2
26;B,N,P(2168),1,I;ZTM;Zajezdnia Nowy Port (dla wysiad.);0;;;0;0;;0
27;P(2169);ZTM;W³adys³awa IV;;1;1;;;1;
28;B,N,K,P(209);ZTM;Nowy Port (Oliwska);;1;1;;;1;
