115;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);
1;B,P(1257);ZTM;Dworzec PKS;0;0;0;0;
2;P(1259);ZTM;Nowe Ogrody;1;2;2;1;
3;P(1329);ZTM;Bema;2;2;2;2;
4;P(1331);ZTM;P³owce;2;2;2;2;
5;P(1881);ZTM;Focha (n/¿);1;1;1;1;
6;P(1333);ZTM;Cygañska Góra;1;1;1;1;
7;P(1335);ZTM;Wagnera;2;2;2;1;
8;P(1337);ZTM;Otwarta;1;1;1;1;
9;P(1339);ZTM;Kurpiñskiego;1;1;1;1;
10;P(1360);ZTM;Schuberta;2;2;2;1;
11;P(1358);ZTM;Schumana;1;1;1;1;
12;P(1356);ZTM;Pomorskie Szko³y Rzemios³;1;1;1;1;
13;P(1354);ZTM;Jarowa;1;1;1;1;
14;P(1352);ZTM;Krêta;1;1;1;1;
15;P(1350);ZTM;Traugutta - Sobieskiego;1;1;1;1;
16;P(1348);ZTM;Uphagena;2;3;2;2;
17;B,N,K0,P(314);ZTM;Wrzeszcz PKP;2;3;2;2;
