283;Flagi;Gmina;Nazwa;X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59)
1;B,P(188);ZTM;Politechnika SKM;;0;0;0;0;0;0
2;P(1913);ZTM;Centrum Onkologii (n/¿);;3;3;3;2;2;3
3;P(1599);ZTM;Uniwersytet Medyczny;;1;1;2;1;1;1
4;P(1811);ZTM;Dêbinki;;3;3;3;3;3;3
5;P(1915);ZTM;Uniwersyteckie Centrum Kliniczne;;2;2;2;2;2;2
6;P(1921);ZTM;Centrum Medycyny Inwazyjnej;;1;1;2;1;1;1
7;P(1917);ZTM;Szpital ZakaŸny;;2;2;2;2;2;2
8;P(1353);ZTM;Jarowa;;2;2;2;2;2;2
9;P(1355);ZTM;Pomorskie Szko³y Rzemios³;;1;1;1;1;1;1
10;P(1357);ZTM;Schumana;;1;1;1;1;1;1
11;P(1359);ZTM;Schuberta;;1;1;1;1;1;1
12;P(1344);ZTM;Park Naukowo - Technologiczny;;1;1;1;1;1;1
13;P(1723);ZTM;Piekarnicza;;3;3;3;3;3;3
14;P(1371);ZTM;Warneñska;;2;2;3;2;2;2
15;P(1380);ZTM;Kolumba;;1;1;1;1;1;1
16;P(1378);ZTM;Brêtowo PKM;;1;1;1;1;1;1
17;P(1434);ZTM;Ogrodowa (n/¿);;1;1;1;1;1;1
18;P(1393);ZTM;Potokowa;0;2;2;2;2;2;3
19;P(1428);ZTM;Leœna G. - Przychodnia;;2;;;;2;2
20;P(192);ZTM;Leœna Góra;;1;;;;1;1
21;P(1439);ZTM;Podkarpacka;1;2;1;1;1;2;2
22;B,N,K0,P(153);ZTM;NiedŸwiednik;2;2;2;2;2;2;2
