157;Flagi;Gmina;Nazwa;X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X19(00:00-29:59);X20(00:00-29:59);X21(00:00-29:59);
1;B,P(114);ZTM;Wrzeszcz PKP;;0;0;0;0;0;0;0;0;0;0;0;
2;P(1383);ZTM;Galeria Ba³tycka;0;2;3;3;3;3;4;2;2;3;3;2;
3;P(1923);ZTM;Zabytkowa;1;1;2;2;2;3;4;2;1;2;2;2;
4;P(1925);ZTM;Srebrzysko;1;1;1;1;1;1;2;1;1;1;1;1;
5;P(1389);ZTM;Trawki (n/¿);1;1;1;1;1;1;1;1;1;1;1;1;
6;P(1391);ZTM;Potokowa;1;1;1;2;1;1;2;1;1;1;2;1;
7;P(1395);ZTM;S³owackiego - Dzia³ki (n/¿);2;2;2;2;2;2;2;2;2;2;2;2;
8;P(1397);ZTM;Z³ota Karczma;3;3;4;4;4;4;4;4;3;4;4;4;
9;P(1411);ZTM;Agrarna;2;2;2;2;2;2;2;2;2;2;2;2;
10;P(1539);ZTM;Matarnia PKM;1;1;1;1;1;1;1;1;1;1;1;1;
11;P(1845);ZTM;S¹siedzka (n/¿);1;1;1;1;1;1;1;1;1;1;1;1;
12;P(1290);ZTM;Nowatorów;;;;;2;2;2;2;2;2;2;2;
13;P(1288);ZTM;Transportowców;;;;;1;1;1;1;1;1;1;1;
14;P(1703);ZTM;Kartuska (n/¿);;;;;1;1;1;1;1;1;1;1;
15;P(1287);ZTM;Fabryczna;;;;;2;2;2;2;1;1;1;1;
16;P(1289);ZTM;Transportowców;;;;;1;1;1;1;1;1;1;1;
17;P(1291);ZTM;Nowatorów;2;2;2;2;2;2;2;2;2;2;2;2;
18;P(1293);ZTM;Kokoszki - Poczta;1;1;1;1;1;1;1;1;1;1;1;1;
19;P(1297);ZTM;Unimor (n/¿);1;1;1;1;1;1;1;1;1;1;1;1;
20;P(1299);ZTM;Centrostal (n/¿);1;1;1;1;1;1;1;1;1;1;1;1;
21;P(1301);ZTM;Instal (n/¿);0;0;0;0;0;0;0;0;0;0;0;0;
22;P(1303);ZTM;Bysewska (n/¿);1;1;1;1;1;1;1;1;1;1;1;1;
23;B,N,K0,P(1659);ZTM;Bysewo;1;1;1;1;1;1;1;1;1;1;1;1;
