N9;Flagi;Gmina;Nazwa;X0(00:00-29:59)
1;B,P(143);ZTM;Przegalina (n/¿);0
2;P(1156);ZTM;Przegaliñska (n/¿);1
3;P(1154);ZTM;Œwibnieñska (n/¿);2
4;P(1152);ZTM;Uzdrowiskowa (n/¿);2
5;P(1656);ZTM;Œwibnieñska - Sklep (n/¿);1
6;P(1150);ZTM;Œwibno - Przychodnia (n/¿);0
7;P(1148);ZTM;Przystañ (n/¿);1
8;P(1146);ZTM;Wêgorzowa (n/¿);1
9;P(1144);ZTM;Kempingowa (n/¿);1
10;P(1142);ZTM;Tra³owa - Szko³a (n/¿);1
11;P(1680);ZTM;Boguckiego (n/¿);1
12;P(1140);ZTM;Kwiatowa (n/¿);1
13;P(1138);ZTM;Wieniec (n/¿);1
14;P(1136);ZTM;Lazurowa (n/¿);1
15;P(1134);ZTM;Pole Namiotowe (n/¿);1
16;P(1828);ZTM;Forsycji (n/¿);1
17;P(1842);ZTM;Turystyczna (n/¿);0
18;P(1132);ZTM;Kana³owa (n/¿);1
19;P(1758);ZTM;Falowa (n/¿);1
20;P(1130),S;ZTM;Sobieszewo Wyspa (n/¿);1
21;P(1128);ZTM;Sobieszewo Most (n/¿);2
22;P(1126);ZTM;Wiœlinka Piaskowa (n/¿);1
23;P(1124);ZTM;Wiœlinka Szkolna (n/¿);2
24;P(1122);ZTM;Bogatka I (n/¿);2
25;P(1120);ZTM;Bogatka (n/¿);1
26;P(1712);ZTM;Bogatka II (n/¿);1
27;P(1118);ZTM;Przejazdowo £¹kowa (n/¿);1
28;P(1116);ZTM;Przejazdowo (n/¿);1
29;P(1114);ZTM;Przejazdowo Sezonowa (n/¿);1
30;P(1112);ZTM;Dobrowo (n/¿);1
31;P(1110),S;ZTM;Rafineria (n/¿);1
32;P(1108);ZTM;Micha³ki Wiadukt (n/¿);1
33;P(1106);ZTM;Tarcice (n/¿);1
34;P(1104);ZTM;B³onia (n/¿);1
35;P(1256);ZTM;Elbl¹ska - Wiadukt (n/¿);1
36;P(1102);ZTM;Mia³ki Szlak (n/¿);1
37;P(1100);ZTM;Mostek (n/¿);1
38;P(1042);ZTM;Brama ¯u³awska (n/¿);1
39;P(1662);ZTM;Akademia Muzyczna (n/¿);1
40;P(1041);ZTM;Szafarnia (n/¿);1
41;P(1192);ZTM;Dolna (n/¿);1
42;P(1664);ZTM;Kamienna Grobla (n/¿);1
43;P(1190);ZTM;RzeŸnicka (n/¿);1
44;P(1030);ZTM;Brama Wy¿ynna;2
45;B,N,K0,P(1020);ZTM;Dworzec G³ówny;2
