N2;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59)
1;B,P(390);ZTM;£ostowice Œwiêtokrzyska;0;0;0
2;P(1742);ZTM;Œwiêtokrzyska (n/¿);1;1;1
3;P(1316);ZTM;P³ocka (n/¿);1;1;1
4;P(1314);ZTM;Przemyska (n/¿);1;1;1
5;P(1980);ZTM;Wilanowska (n/¿);1;1;1
6;P(1310);ZTM;Cmentarz £ostowicki (n/¿);1;1;1
7;P(1633);ZTM;Emaus (n/¿);2;2;2
8;P(1723);ZTM;Piekarnicza (n/¿);2;2;2
9;P(1371);ZTM;Warneñska (n/¿);2;2;2
10;P(1373);ZTM;Budapesztañska (n/¿);1;1;1
11;P(128);ZTM;Migowo (n/¿);1;1;1
12;P(1376);ZTM;Budapesztañska (n/¿);1;1;1
13;P(1374);ZTM;Warneñska (n/¿);1;1;1
14;P(1372);ZTM;Piecewska (n/¿);1;1;1
15;P(1370);ZTM;Dobrowolskiego (n/¿);1;1;1
16;P(1368);ZTM;Strzelnica (n/¿);1;1;1
17;P(1366);ZTM;Falista (n/¿);1;1;1
18;P(1364);ZTM;Na Wzgórzu (n/¿);1;1;1
19;P(1362);ZTM;Sobótki (n/¿);1;1;1
20;P(1776);ZTM;Grunwaldzka (n/¿);2;2;2
21;P(116);ZTM;Wrzeszcz PKP;2;2;2
22;P(1634);ZTM;Galeria Ba³tycka (n/¿);1;1;1
23;P(1441);ZTM;Kiliñskiego (n/¿);1;1;1
24;P(1442);ZTM;Legionów (n/¿);2;2;2
25;P(1443);ZTM;Kopalniana (n/¿);1;1;1
26;P(1444);ZTM;Cio³kowskiego (n/¿);1;1;1
27;P(1910);ZTM;Hallera - Baza ZKM (n/¿);1;1;1
28;P(1449),H;ZTM;Hallera - Baza ZKM (n/¿);;1;
29;P(1999);ZTM;al. Hallera (n/¿);2;;
30;P(1491);ZTM;Dworska (n/¿);1;;
31;P(1493);ZTM;PCK (n/¿);1;;
32;P(1495);ZTM;BrzeŸno  (n/¿);1;;
33;P(1589);ZTM;Krasickiego (n/¿);1;;
34;P(1497);ZTM;Zespó³ Szkó³ Morskich (n/¿);1;;
35;P(1499);ZTM;Wyzwolenia (n/¿);1;;
36;P(1893);ZTM;Wyzwolenia - Marynarki Polskiej (n/¿);1;;
37;P(1591);ZTM;Plac Wolnoœci (n/¿);1;;
38;P(1501);ZTM;Zajezdnia NOWY PORT (n/¿);1;;
39;B,N,K0,P(325);ZTM;Nowy Port Szaniec Zachodni;1;;
