126;Flagi;Gmina;Nazwa;X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X16(00:00-29:59);X18(00:00-29:59);X19(00:00-29:59)
1;B,P(114);ZTM;Wrzeszcz PKP;0;0;0;0;0;0;0;0;0;0;0
2;P(1383);ZTM;Galeria Ba³tycka;2;2;3;3;3;4;3;2;2;3;2
3;P(1923);ZTM;Zabytkowa;1;1;2;2;3;4;3;2;2;2;1
4;P(1925);ZTM;Srebrzysko;1;1;1;1;1;2;1;1;1;1;1
5;P(1389);ZTM;Trawki (n/¿);1;1;1;1;1;1;1;1;1;1;1
6;P(1391);ZTM;Potokowa;1;1;1;1;1;2;1;1;1;2;2
7;P(1395);ZTM;S³owackiego - Dzia³ki (n/¿);2;2;2;2;2;2;2;2;2;2;2
8;P(1397);ZTM;Z³ota Karczma;3;3;4;4;4;4;4;4;4;4;3
9;P(1411);ZTM;Agrarna;2;2;2;2;2;2;2;2;2;2;2
10;P(1539);ZTM;Matarnia PKM;1;1;1;1;1;1;1;1;1;1;1
11;P(1845);ZTM;S¹siedzka (n/¿);1;1;1;1;1;1;1;1;1;1;1
12;P(1413);ZTM;Nowatorów;2;2;2;2;2;2;2;2;2;2;2
13;P(1909);ZTM;Zbie¿na (n/¿);0;0;0;0;0;0;0;0;0;0;0
14;P(1415);ZTM;Rakietowa (n/¿);1;1;1;1;1;1;1;1;1;1;1
15;P(1417);ZTM;Kosmonautów (n/¿);1;1;1;1;1;1;1;1;1;1;1
16;P(1751);ZTM;POD - Lotnisko III (n/¿);1;1;1;1;1;1;1;1;1;1;1
17;P(1419);ZTM;Budowlanych (n/¿);1;1;1;1;1;1;1;1;1;1;1
18;P(1421);ZTM;POD - Lotnisko I (n/¿);1;1;1;1;1;1;1;1;1;1;1
19;P(1423);ZTM;POD - Lotnisko II (n/¿);1;1;1;1;1;1;1;1;1;1;1
20;P(1425),S;ZTM;Przyrodników;2;2;2;2;2;2;2;2;2;2;2
21;P(7427);ZTM;Rêbiechowo;1;1;1;1;1;1;1;1;1;1;1
22;P(7429);ZTM;Rêbiechowo PKP (n/¿);1;1;1;1;1;1;1;1;1;1;1
23;P(7979);ZTM;Banino - Szko³a;1;1;1;1;1;1;1;1;1;1;1
24;B,N,P(148),1,I;ZTM;Banino;;1;1;;1;;;1;;1;1
25;P(7981);ZTM;Banino - Borowiecka;1;;;1;;1;1;;1;;
26;P(7983);ZTM;Banino - Pszenna;1;;;2;;2;1;;1;;
27;P(7987);ZTM;Miszewo;3;;;3;;3;3;;3;;
28;P(7989);ZTM;Pêpowo - Skrzy¿owanie (n/¿);2;;;2;;2;2;;2;;
29;P(7991);ZTM;Ma³kowo;1;;;1;;1;1;;1;;
30;P(7993);ZTM;¯ukowo S³oneczna (n/¿);2;;;2;;2;2;;2;;
31;P(7995);ZTM;¯ukowo Fenikowskiego;1;;;1;;1;1;;1;;
32;P(7997);ZTM;¯ukowo Dworcowa;1;;;1;;1;1;;1;;
33;B,N,K0,P(196);ZTM;¯ukowo Urz¹d Gminy;2;;;2;;2;2;;2;;
